x,y,target
230.0420762788026,346.17736033368976,0
231.80688873463058,356.3561874254,0
226.5024474563958,348.14092161495154,0
193.85366625044307,334.86482534052294,0
212.48092668769928,360.68698659573045,0
202.90371878471345,359.5713106161584,0
202.74551305844673,352.0786837260481,0
172.68224090309803,322.6211170225873,0
172.74488510718714,327.2629903174393,0
189.2489700520306,324.41376390602915,0
178.08512080229016,333.8293815729137,0
178.53082440039157,319.7032190909923,0
159.9218842514819,317.73281120009653,0
173.67895120063548,313.08182408874916,0
133.91243895084884,327.4398608668331,0
139.4310426554901,297.9844045524776,0
148.48751114645955,298.7925909216525,0
132.54209062599898,323.5549320974237,0
119.75858392297037,286.6467519993723,0
127.33639193210205,275.50455217327834,0
100.6798332217281,297.1838671191287,0
125.84761961835167,295.3651816864567,0
132.70087416517433,288.22086917908143,0
107.23998006799461,277.533836664621,0
109.00914032389686,278.32612232647483,0
96.6008331532094,249.9797330774723,0
107.70053178708534,237.8962297243676,0
109.8183364494826,270.7093138846675,0
117.62362005457732,247.30069761919066,0
108.56424475901292,260.3512606245937,0
129.9195608304966,246.38738580669255,0
116.75541748801666,239.89326995008062,0
122.9761120406395,216.41404300111617,0
137.74474425615546,225.83972813622137,0
132.8909802437408,211.0240781938658,0
125.60892692154025,227.8081351445389,0
132.89777813886576,230.51817795660028,0
120.48489912276428,214.77460087996872,0
120.29150924278828,211.21356331157173,0
136.56456317880162,224.12873636762095,0
125.38002724140357,206.72074632634786,0
158.10153605812081,224.8365146870883,0
170.27523007455912,195.9752112290472,0
176.60572689900508,207.6732063282258,0
154.95668493707316,193.41409153769695,0
187.49371398218744,189.7979698288506,0
174.54831525984898,179.76969639403012,0
201.19931346803887,182.59543077312648,0
190.232166244773,182.73915397418455,0
226.709376709352,192.44976057570838,0
213.8448429775705,198.51624266204988,0
233.41474198782154,176.1556672802113,0
236.84595801247212,190.58248225935293,0
255.7432320441064,197.48819929690524,0
243.88113441760729,188.96660921833035,0
267.09914597079387,203.95695833268928,0
270.1974558779403,188.48744533359806,0
279.2469137716326,200.47250401298416,0
290.0660789296249,223.78150245109202,0
301.6692370585807,212.9516493653736,0
291.26747299857954,217.54954901184112,0
304.41139264575963,238.45764048038558,0
277.2863575001654,247.62806467251085,0
297.8521650340145,259.8784745561064,0
271.90225280413136,243.81644971718526,0
304.15882600076725,246.7035672022496,0
271.12420717837455,267.1253228683442,0
281.9995241218222,256.0460602440583,0
271.3646230420016,281.5524891110713,0
292.29991569603936,274.30511147935306,0
273.5484343558495,287.6194160768776,0
275.45695172763607,288.79745728566854,0
271.85948775074934,274.08780299331465,0
274.16181774201743,281.80503889289747,0
272.0669834428727,281.73586305692425,0
249.0704597195813,289.04200873866785,0
252.57528526571062,287.67939180196106,0
269.0539636564177,282.3517400838131,0
233.05737060774823,302.98304598989364,0
239.65453032608804,277.52370208116,0
256.37448988040734,277.5939084194507,0
246.14213414531457,291.68259815115897,0
238.45770937028416,278.6269323436505,0
244.9641843293715,291.3782567693943,0
239.9082123423098,301.65513572128555,0
227.11190589450553,318.20999369544927,0
226.84880511994078,305.7941297822481,0
226.52978340763974,320.47482741134246,0
227.0686041932536,321.42733346449126,0
211.538384278977,287.8287009696171,0
209.00455755268302,317.29041774429396,0
242.11146996824397,300.2164499423153,0
233.87819810209135,312.75723737909004,0
233.1484951777541,320.0452625576689,0
216.53068576837612,315.24182306669604,0
212.56442470843012,322.89243340683055,0
183.24530855590825,307.86924091183175,0
194.00149088727878,287.93303391901327,0
194.00821200692766,310.899210460148,0
192.16054668201443,311.5140238609815,0
179.53247616081285,283.4735696045036,0
195.79475289610858,310.44205974505996,0
198.9968311205797,303.4217073397559,0
176.35054906432538,302.20271139411034,0
183.51249083492394,290.6129088324974,0
159.57097593974487,293.00329465355173,0
172.90736495812274,284.02300538723136,0
158.57084961556998,287.8491066060543,0
160.91446358515316,271.92796222023827,0
150.78896158745067,287.22513812520054,0
153.6265904451801,243.80402703055117,0
145.77233349550747,255.4099600846615,0
159.90816676884987,235.6971225035595,0
153.2724994723837,235.33408039961557,0
128.6124878397986,225.40410056237124,0
138.34373127487157,247.574100723935,0
152.8673386414653,241.42976147855865,0
153.5122536131319,222.80472960718896,0
169.0162333396271,242.88954550962805,0
137.81517069212998,234.63038175001674,0
150.9373579078734,211.79005297343673,0
162.8622063246218,233.8734455536692,0
167.58757596444852,230.42723418127514,0
189.19550635759057,210.90678046648847,0
188.22902882239524,231.68625792200092,0
173.03922543161167,226.61651461996217,0
194.94160699652272,225.7168464477294,0
177.6154228769931,240.0819377918857,0
216.02290067691578,220.56503045947917,0
220.70746587381498,225.5051170897448,0
